Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
590006.0,BSE,Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,Active,B ,1.0,INE098F01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,,,,,
